ID,Title,Keywords,FirstLevel,Processed_Title,Processed_Keyword,Processed_T_K
25,Visualizing Recommendation Flow on Social Network,"reputation,social network,visualizing information flow",['H' 'J'],visualizing recommendation flow,visualizing information flow,visualizing recommendation flow visualizing information flow
26,Visualization of High-dimensional Data via Orthogonal Curves,"grand tour methods,Andrews' curves,exploratory data analysis,visual clustering",['H' 'I'],high-dimensional data,grand tour methods,high-dimensional data grand tour methods
27,Integrating Lite-Weight but Ubiquitous Data Mining into GUI Operating Systems,"data mining,visualization,icon",['H'],ubiquitous data mining,data mining,ubiquitous data mining data mining
28,Connecting Segments for Visual Data Exploration and Interactive Mining of Decision Rules,"data mining,visual data exploration,connecting segments",['E' 'H'],visual data exploration,visual data exploration,visual data exploration visual data exploration
29,Visualization and Manipulation of Incomplete and Uncertain Dependencies by Decision Diagrams,"data mining,decision diagrams,incompletely specified functions,minimization",['F' 'I'],uncertain dependencies,data mining,uncertain dependencies data mining
30,Gravi++: Interactive Information Visualization to Explore Highly Structured Temporal Data,"interactive information visualization,temporal data,medical domain",['H' 'J'],explore highly structured temporal data,interactive information visualization,explore highly structured temporal data interactive information visualization
31,Scalable Visual Data Exploration of Large Data Sets via MultiResolution,"visual data exploration,visualization technique,multiresolution",['H'],scalable visual data exploration,visual data exploration,scalable visual data exploration visual data exploration
34,Physically Locating Wireless Intruders,"Wireless,intrusion detection system,802.11,antenna",['D'],physically locating wireless intruders,intrusion detection system,physically locating wireless intruders intrusion detection system
35,A Reference Model for Security Level Evaluation: Policy and Fuzzy Techniques,"Policy,Public Key Infrastructure,Security Evaluation,Fuzzy Techniques   K.6.5,K.4.2",['K'],security level evaluation,public key infrastructure,security level evaluation public key infrastructure
36,Increasing Robustness of LSB Audio Steganography by Reduced Distortion LSB Coding,"audio steganography,LSB coding,data hiding   H.5.1",['D' 'H'],reduced distortion lsb coding,audio steganography,reduced distortion lsb coding audio steganography
37,ProtoMon: Embedded Monitors for Cryptographic Protocol Intrusion Detection and Prevention,"Computer Security,Intrusion Detection,Cryptographic Protocol Abuse",['C' 'D' 'K'],cryptographic protocol intrusion detection,cryptographic protocol abuse,cryptographic protocol intrusion detection cryptographic protocol abuse
38,Sliding Window Protocol for Secure Group Communication in Ad-Hoc Networks,"Ad Hoc Network,DSR Routing Protocol,Re-keying performance,Secure Group Communications",['C' 'D' 'I'],sliding window protocol,ad hoc network,sliding window protocol ad hoc network
39,Software/Hardware Co-Design of Efficient and Secure Cryptographic Hardware,"Evolutionary Computation,Co-Design,Genetic  Algorithm,Cryptography,Addition-Chain",['H'],secure cryptographic hardware,evolutionary computation,secure cryptographic hardware evolutionary computation
40,RSA-based Certified Delivery of E-Goods Using Verifiable and Recoverable Signature Encryption,"certified delivery,non-repudiation,fair exchange,security protocols",['C' 'D' 'K'],rsa-based certified delivery,certified delivery,rsa-based certified delivery certified delivery
41,Information Quality Assurance by Lazy Exploration of Information Source Combinations Space in Open Multi-Agent Systems,"multi-agent systems,agent,information quality",['H' 'I'],information source combinations space,multi-agent systems,information source combinations space multi-agent systems
42,Low-Intrusive Consistent Disk Checkpointing: A Tool for Digital Forensics,"Checkpointing,Backup,Consistency,Snapshot,Digital  Forensics,File system,Operating System",['D'],low-intrusive consistent disk checkpointing,digital  forensics,low-intrusive consistent disk checkpointing digital  forensics
43,A Novel Scheme for Secured Data Transfer Over Computer Networks,"Data Protection,Perfect Secrecy,Information Theory,Security algorithm,Key management,One-time Pad",['E'],secured data transfer,data protection,secured data transfer data protection
44,"Gossip Codes for Fingerprinting: Construction, Erasure Analysis and Pirate Tracing","coding and information theory,multimedia information system,digital libraries",['H'],gossip codes,multimedia information system,gossip codes multimedia information system
45,Creation of Information Profiles in Distributed Databasesas a Game Problem,"distributed databases,information resources,information market,game theory,strategy of database managers",['H' 'I' 'K'],information profiles,distributed databases,information profiles distributed databases
46,An Application of the DEDS Control Synthesis Method,"control synthesis,discrete event dynamic systems (DEDS)",['G' 'H' 'I'],deds control synthesis method,discrete event dynamic systems,deds control synthesis method discrete event dynamic systems
47,Structural Tendencies in Complex Systems Development and their Implication for Software Systems,"complex systems,adaptable architectures,software life cycle",['C' 'D' 'G' 'H' 'K'],complex systems development,software life cycle,complex systems development software life cycle
48,Collaborative Web Browsing Based on Semantic Extraction of User Interests with Bookmarks,"Web browsing,collaborative works,ontology",['H'],collaborative web browsing based,web browsing,collaborative web browsing based web browsing
49,The Language Grounding Problem and its Relation to the Internal Structure of Cognitive Agents,"language grounding,communication,cognitive agent,formula satisfaction,modal logic",['H'],language grounding problem,language grounding,language grounding problem language grounding
50,RankFeed - Recommendation as Searching without Queries: New Hybrid Method of Recommendation,"recommendation,information retrieval,Web mining,personalization,adaptive systems,ROSA",['H'],hybrid method,information retrieval,hybrid method information retrieval
52,Processing Inconsistency of Knowledge on Semantic Level,"inconsistent knowledge,conflicts,consensus methods",['E' 'H' 'I'],processing inconsistency,inconsistent knowledge,processing inconsistency inconsistent knowledge
53,Consensus-Based Hybrid Adaptation of Web Systems User Interfaces,"user interfaces,hybrid adaptation,Web-based systems,consensus methods",['H'],web systems user interfaces,user interfaces,web systems user interfaces user interfaces
54,A Provably Efficient Computational Model For Approximate Spatiotemporal Retrieval,"spatiotemporal databases,spatiotemporal data modeling,spatiotemporal data structures,range queries of high dimensionality",['H'],provably efficient computational model,spatiotemporal data modeling,provably efficient computational model spatiotemporal data modeling
55,Time Costs in Actor Computations,"actor computations,execution time,parallel computations,implementation constraints",['C' 'D'],time costs,actor computations,time costs actor computations
56,"Analysis, Design, and Performance Evaluation of MS-RTCP: More Scalable Scheme for the Real-Time Control Protocol","RTCP scalability,distributed management,multimedia protocols,multimedia communication",['C'],real-time control protocol,rtcp scalability,real-time control protocol rtcp scalability
57,Automatic Test Data Generation for Data Flow Testing Using a Genetic Algorithm,"software testing,automatic test data generation,data flow testing,Genetic algorithms",['D' 'K'],automatic test data generation,automatic test data generation,automatic test data generation automatic test data generation
58,On Theoretical Upper Bound for Routing Estimation,"global routing,algorithms,CAD,integrated circuits",['B' 'F'],theoretical upper bound,global routing,theoretical upper bound global routing
59,Fine-Grained Transclusions of Multimedia Documents in HTML,"hypermedia,transclusions,xanalogical structure,authoring systems,publishing systems,web-based applications,multimedia",['H'],fine-grained transclusions,xanalogical structure,fine-grained transclusions xanalogical structure
60,On Complexity of Collective Communications on a Fat Cube Topology,"interconnection networks,fat cube topology,router architecture,collective communications",['H'],fat cube topology,fat cube topology,fat cube topology fat cube topology
61,TESTAF: A Test Automation Framework for Class Testing using Object-Oriented Formal Specifications,"automated testing,formal specification,object-oriented software",['D'],test automation framework,automated testing,test automation framework automated testing
62,A Provably Secure and Efficient Verifiable Shuffle based on a Variant of the Paillier Cryptosystem,"privacy,verifiable s,huffles,mix-nets,Paillier's public-key system",['E'],efficient verifiable shuffle based,public-key system,efficient verifiable shuffle based public-key system
63,Exploiting Agent Ontologies in B2C Virtual Marketplaces,"intelligent agent technology,agent ontology,b2c e-commerce",['H'],exploiting agent ontologies,intelligent agent technology,exploiting agent ontologies intelligent agent technology
64,Domain Extenders for UOWHF: A Finite Binary Tree Algorithm,"UOWHF,hash function,binary tree",['E'],finite binary tree algorithm,hash function,finite binary tree algorithm hash function
65,"Model Checking, Automated Abstraction, and Compositional Verification of Rebeca Models","actor model,reactive systems,model checking,modular verification,abstraction techniques",['D'],model checking,actor model,model checking actor model
66,A Fast T-decomposition Algorithm,"T-decomposition,computable complexity measures,parsing,entropy",['E'],fast t-decomposition algorithm,computable complexity measures,fast t-decomposition algorithm computable complexity measures
69,How to Draw Free Trees Inside Bounded Simple Polygons,"computational geometry,graph drawing,simulated annealing,free trees,straight skeleton",['G' 'I'],draw free trees inside bounded simple polygons,computational geometry,draw free trees inside bounded simple polygons computational geometry
71,A Constructive Approach to Language Definition,"semantics of programming languages,action semantics,structural operational semantics,modularity",['D' 'F'],constructive approach,structural operational semantics,constructive approach structural operational semantics
72,Hardware Design and Functional Programming: a Perfect Match,"functional programming,hardware description languages,arithmetic and logic structures,circuit generation",['B'],hardware design,hardware description languages,hardware design hardware description languages
73,The Implementation of Lua 5.0,"compilers,virtual machines,hash t,ables,closures,coroutines",['D' 'E'],implementation,virtual machines,implementation virtual machines
74,AspectLua - A Dynamic AOP Approach,"AOP,MOP,Lua,dynamic aspects,reflection",['D'],dynamic aop approach,dynamic aspects,dynamic aop approach dynamic aspects
75,A Formal Semantics for Finalizers,"memory management,garbage collection,finalization,semantics",['D' 'F'],formal semantics,memory management,formal semantics memory management
76,PEWS: A New Language for Building Web Service Interfaces,"programming languages,web services,formal semantics",['C' 'D'],building web service interfaces,programming languages,building web service interfaces programming languages
77,Compiling NonÂ­strict Functional Languages for the .NET Platform,".NET,languages interoperability,virtual machines,functional programming,compilers,Haskell",['D'],compiling nonâ­strict functional languages,languages interoperability,compiling nonâ­strict functional languages languages interoperability
78,Running Lua Scripts on the CLR through Bytecode Translation,"virtual machines,compilers,common language runtime,bytecodes",['D'],running lua scripts,common language runtime,running lua scripts common language runtime
79,An Experimental Evaluation of JAVA JIT Technology,"dynamic compilation,just-in-time compiler,compiler optimizations",['C' 'D'],java jit technology,dynamic compilation,java jit technology dynamic compilation
80,Signals and Comonads,"comonads,distributive laws,stream functions,dataflow computation",['D' 'F'],signals,distributive laws,signals distributive laws
81,An Equational Specification for the Scheme Language,"formal and executable semantics,equational specification,program analysis",['D'],equational specification,executable semantics,equational specification executable semantics
82,mHaskell: Mobile Computation in a Purely Functional Language,"mobile computation,,programming languages,functional programming,Haskell",['D'],purely functional language,mobile computation,purely functional language mobile computation
83,Learning Decision Trees from Dynamic Data Streams,"data streams,incremental decision trees,concept drift",['H' 'I'],learning decision trees,incremental decision trees,learning decision trees incremental decision trees
84,Resource-aware Mining of Data Streams,"data mining,data stream,clustering,resource-aware computing",['H'],resource-aware mining,data mining,resource-aware mining data mining
85,Network Attack Scenarios Extraction and Categorization by Mining IDS Alert Streams,"network security,,intrusion detection,first-order logics,resolution",['I'],network attack scenarios extraction,network security,network attack scenarios extraction network security
86,Semantic Preprocessing of Web Request Streams for Web Usage Mining,"Web usage mining,semantic analysis,browsing patterns",['H' 'I'],web request streams,web usage mining,web request streams web usage mining
87,Evaluating Trigger Conditions on Streaming Time Series with User-given Quality Requirements,"QoS (Quality of Service),trigger,streaming time series,prediction model",['H'],evaluating trigger conditions,streaming time series,evaluating trigger conditions streaming time series
88,Online Mining Changes of Items over Continuous Append-only and Dynamic Data Streams,"data streams,change mining,single-pass algorithm",['H'],dynamic data streams,data streams,dynamic data streams data streams
89,Incremental Rule Learning and Border Examples Selection from Numerical Data Streams,"classification,decision rules,incremental learning,concept drift,data streams",['H' 'I'],incremental rule learning,decision rules,incremental rule learning decision rules
91,New Bounds for Positive Roots of Polynomials,"roots of polynomial equations,bounds for positive roots",['F' 'G'],positive roots,polynomial equations,positive roots polynomial equations
94,Constructive Suprema,"constructive mathematics,partially ordered set,supremum",['F'],constructive suprema,partially ordered set,constructive suprema partially ordered set
95,Constructive Equivalents of the Uniform Continuity Theorem,"constructive mathematics,reverse mathematics,uniform continuity",['F' 'G'],uniform continuity theorem,constructive mathematics,uniform continuity theorem constructive mathematics
96,Computability of the Spectrum of Self-Adjoint Operators,computable functional analysis,['F' 'G'],self-adjoint operators,computable functional analysis,self-adjoint operators computable functional analysis
97,Algorithmic Irreducibility in a Cellular Automata Universe,"halting probability Omega,cellular automaton",['F'],cellular automata universe,halting probability omega,cellular automata universe halting probability omega
98,Constructive Analysis of Iterated Rational Functions,"constructive analysis,iteration of rational functions",['F' 'G'],iterated rational functions,constructive analysis,iterated rational functions constructive analysis
99,Formal Topology and Constructive Mathematics: the Gelfand and Stone-Yosida Representation Theorems,"formal topology,constructive mathematics,Riesz space,f-algebra,axiom of choice",['F' 'G'],stone-yosida representation theorems,formal topology,stone-yosida representation theorems formal topology
101,Axiomatic Classes of Intuitionistic Models,"intuitionistic logic,Kripke model,bisimulation,disjoint union,prime filter,ultraproduct,iterated ultrapower,saturated model",['F'],axiomatic classes,intuitionistic logic,axiomatic classes intuitionistic logic
102,On Firmness of the State Space and Positive Elements of a Banach Algebra,"Banach algebra,constructive mathematics,state space,Hermitian elements,positive elements",['F'],state space,banach algebra,state space banach algebra
103,Nonrandom Sequences between Random Sequences,"algorithmic information theory,algorithmic randomness,random binary sequences,random sets",['F' 'H'],nonrandom sequences,algorithmic information theory,nonrandom sequences algorithmic information theory
104,Permutability of Rules for Linear Lattices,"lattice theory,proof analysis,decidability",['F'],linear lattices,lattice theory,linear lattices lattice theory
105,Quotient Spaces and Coequalisers in Formal Topology,"locales,coequalisers,quotients,formal topology,predicativit,constructive topology",['F'],quotient spaces,formal topology,quotient spaces formal topology
106,Constructive Set Theory and Brouwerian Principles,"constructive set theory,Brouwerian principles,partial combinatory algebra,realizability",['F'],constructive set theory,constructive set theory,constructive set theory constructive set theory
107,Constructing Programs or Processes,"process algebra,determinism,cause,refinement,constructive",['F'],constructing programs,process algebra,constructing programs process algebra
108,Constructive Aspects of Markov Chains,"Markov chains,constructive",['F'],constructive aspects,markov chains,constructive aspects markov chains
109,On the Meaning of Positivity Relations for Regular Formal Spaces,"formal topology,positivity relation,formal spaces,formal reals,regular formal topologies",['F'],regular formal spaces,regular formal topologies,regular formal spaces regular formal topologies
110,Functional Dependencies with Counting on Trees,"functional dependencies,compl,ex value databases,counting attributes,axiomatisation",['F' 'H'],functional dependencies,functional dependencies,functional dependencies functional dependencies
111,"What is Continuity, Constructively?","continuity,constructive mathematics",['F'],continuity,constructive mathematics,continuity constructive mathematics
113,Constructive Results on Operator Algebras,"constructive mathematics,operator theory,Hilbert spaces",['F'],constructive results,constructive mathematics,constructive results constructive mathematics
114,Hausdorff Measure and Lukasiewicz Languages,"iterated function system,attractor,fractals,Hausdorff measure,Cantor space,omega-languages,fractals,simple deterministic languages",['F'],hausdorff measure,iterated function system,hausdorff measure iterated function system
115,How the Mathematical Objects Determine the Mathematical Principles,"constructive analysis,iteration of rational functions",['F' 'G'],mathematical objects determine,constructive analysis,mathematical objects determine constructive analysis
116,Perhaps the Intermediate Value Theorem,"intuitionistic real analysis,intermediate value theorem,perhaps",['G'],intermediate,intuitionistic real analysis,intermediate intuitionistic real analysis
117,A Constructive Approach to Sylvester's Conjecture,"Sylvester's conjecture,constructive geometry,ordered geometry",['F'],constructive approach,constructive geometry,constructive approach constructive geometry
118,Sequential Computability of a Function. Effective Fine Space and Limiting Recursion,"Effective Fine Space,Weakly Fine-computable Sequence,Fine-sequential Computability of a Function,Effective Fine-continuous Function,Limiting Recursion",['F' 'G'],effective fine space,effective fine space,effective fine space effective fine space
119,From Contents to Activities: Modelling Units of Learning,"e-learning,collaborative learning,educational modelling language,unit of learning,learning object",['H' 'K'],modelling units,educational modelling language,modelling units educational modelling language
120,Semantic Web Technologies Applied to e-learning Personalization in &lt;e-aula&gt;,"hypermedia systems,web-based services,XML,semantic web,multimedia",['H'],semantic web technologies applied,hypermedia systems,semantic web technologies applied hypermedia systems
121,A Tool for the Reinforcement of Conceptual Learning: Description and Use Experiences,"authoring tool,interactive exercise,conceptual learning",['K'],conceptual learning,authoring tool,conceptual learning authoring tool
122,Ubiquitous Computing in the Classroom: An Approach through Identification Process,"ubiquitous computing,RFID,implicit interaction,context aware",['F' 'H' 'I' 'K'],ubiquitous computing,ubiquitous computing,ubiquitous computing ubiquitous computing
123,Integrating Educational Tools for Collaborative Computer Programming Learning,"collaborative programming,computer programming teaching,computer programming learning,program animation,program simulation",['K'],collaborative computer programming learning,computer programming teaching,collaborative computer programming learning computer programming teaching
124,From Chasqui to Chasqui II: an Evolution in the Conceptualization of Virtual Objects,"e-learning,virtual object,learning object,virtual museum,LCMS,virtual campus,authoring tool,web services,LOM,SCORM,IMS",['K'],virtual objects,virtual object,virtual objects virtual object
125,Authoring and Diagnosis of Learning Activities with the KADD ET Environment,"learning environments,cognitive diagnosis,authoring tools,error libraries,model tracing",['K'],learning activities,learning environments,learning activities learning environments
126,A System to Support Asynchronous Collaborative Learning Tasks Using PDAs,"PDA,computer-supported collaborative learning,mobile computing,domotics",['J' 'K'],support asynchronous collaborative learning tasks,computer-supported collaborative learning,support asynchronous collaborative learning tasks computer-supported collaborative learning
127,Case Studies in Tele-Education: Research and Projects,"Internet,web-based services,multimedia,hypertext/hypermedia,computer uses in education",['C' 'H' 'K'],case studies,web-based services,case studies web-based services
128,Integrating Ontologies into the Collaborative Authoring of Learning Objects,"learning objects,metadata,ontologies,collaborative annotation",['K'],integrating ontologies,learning objects,integrating ontologies learning objects
130,Analyzing Module Diversity,"package,module,selector namespaces,classboxes,virtual classes,Small-talk,Java,Ruby,C#",['D'],analyzing module diversity,selector namespaces,analyzing module diversity selector namespaces
132,Coordinating Behavioral Descriptions of Components,"coordination,process algebra,modular embedding,expressiveness",['D'],coordinating behavioral descriptions,process algebra,coordinating behavioral descriptions process algebra
133,From Algebras to Objects: Generation and Composition,"software formal specification,objectÂ­orientation,object composition",['D'],algebras,software formal specification,algebras software formal specification
134,A Non-Invasive Approach to Assertive and Autonomous Dynamic Component Composition in the Service-Oriented Paradigm,"dynamic component composition,Service Oriented Architecture,Web Services,assertive composition,autonomous composition,intermediate code manipulation,aspect-oriented programming,aspect weaving,.NET,Common Language Runtime",['D' 'H' 'I'],autonomous dynamic component composition,service oriented architecture,autonomous dynamic component composition service oriented architecture
135,Probabilistic Models for Reo Connector Circuits,"probabilistic constraint automata,Reo,coordination,composition,Markov decision process,bisimulation",['D' 'F' 'G'],reo connector circuits,probabilistic constraint automata,reo connector circuits probabilistic constraint automata
136,Modular Verification of a Component-Based Actor Language,"actor model,reactive systems,Rebeca,component,modular verification",['D' 'F'],component-based actor language,actor model,component-based actor language actor model
137,The Effect of Personality-Aware Computer-Human Interfaces on Learning,"Human-Computer Interaction,e-learning,Myers-Briggs Type Indicator,MBTI",['H' 'K'],personality-aware computer-human interfaces,myers-briggs type indicator,personality-aware computer-human interfaces myers-briggs type indicator
138,Situated Models and Metadata for Learning Management,"eLearning,metadata,situated learning",['K'],situated models,situated learning,situated models situated learning
139,User Context Aware Delivery of E-Learning Material: Approach and Architecture,"e-learning,learning objects,user context-aware retrieval,ontologies",['H' 'K'],user context aware delivery,user context-aware retrieval,user context aware delivery user context-aware retrieval
140,Intercultural Factors in Web-based Training Systems,"user interface design,usage-centered design,knowledge management,Web-based training,interaction patterns,cross-cultural/intercultural factors",['H' 'J'],web-based training systems,user interface design,web-based training systems user interface design
141,Discovering Student Models in e-learning Systems,"e-learning,learning objects,user context",['K'],discovering student models,learning objects,discovering student models learning objects
142,Experiences with Adaptive User and Learning Models in eLearning Systems for Higher Education,"CSCL,adaptive, eLearning,user modeling,learning models",['H'],adaptive user,user modeling,adaptive user user modeling
143,"Game-Based Learning in Universities and Lifelong Learning: ""UniGame: Social Skills and Knowledge Training"" Game Concept","education,collaborative learning,constructivism,game-based learning,game,motivation",['H' 'I' 'K'],game-based learning,collaborative learning,game-based learning collaborative learning
144,The Role of Adaptation and Personalisation in Classroom-Based Learning and in e-Learning,"learning,teaching,personalisation",['H' 'I'],classroom-based learning,learning,classroom-based learning learning
146,A Message-Optimal Distributed Graph Algorithm: Partial Precedence Constrained Scheduling,"distributed algorithm,directed graph,scheduling,task,precedence constraints",['F' 'G'],message-optimal distributed graph algorithm,distributed algorithm,message-optimal distributed graph algorithm distributed algorithm
147,A Rapid Prototyping Environment for Multi-DSP Systems based on Accurate Performance Prediction,"rapid prototyping,scheduling,performance prediction,multi-DSP,embedded systems,data flow",['B' 'C' 'D'],rapid prototyping environment,rapid prototyping,rapid prototyping environment rapid prototyping
148,Securing Web-Based Exams,"web-based exam,assessment,security,supervision,fraud prevention",['K'],securing web-based exams,web-based exam,securing web-based exams web-based exam
150,Facilitating Knowledge Exchange and Decision Making within Learning Networks,"learning networks,learning management system,communities of practice,broker",['I'],facilitating knowledge exchange,learning management system,facilitating knowledge exchange learning management system
151,Managing the KM Trade-Off: Knowledge Centralization versus Distribution,"intellectual capital,knowledge markets,mental models,communities of practice,retrospective rationality,bounded rationality,constructivism,organizational trade-offs",['A' 'H'],knowledge centralization versus distribution,intellectual capital,knowledge centralization versus distribution intellectual capital
152,Knowledge Nodes: the Reification of Organizational Communities. The Pizzarotti Case Study,"distributed knowledge management,communities,knowledge nodes",['C' 'H'],pizzarotti case study,distributed knowledge management,pizzarotti case study distributed knowledge management
153,OntoShare - An Ontology-based Knowledge Sharing System for virtual Communities of Practice,"knowledge sharing community,semantic web",['H'],ontology-based knowledge sharing system,knowledge sharing community,ontology-based knowledge sharing system knowledge sharing community
154,Participative Process Introduction: Three Case Studies From the indiGo Project,"distributed participative process evolution,process introduction,process improvement,process inspection,eParticipative Process Learning,indigo",['D' 'H' 'K'],participative process introduction,distributed participative process evolution,participative process introduction distributed participative process evolution
155,Communities of Practice: An Integrated Technology Perspective,"communities of practice,knowledge management,e-Learnin,g,information technology,intranet,extranet,personalization,enterprise content management",['A' 'C' 'H' 'K'],integrated technology perspective,enterprise content management,integrated technology perspective enterprise content management
156,Against Hierarchy and Chaos Knowledge Coproduction in Nets of Experts,"communities of practice,nets of experts,case study,Siemens,Volkswagen,Deutsche Telekom,WiKo",['K'],chaos knowledge coproduction,case study,chaos knowledge coproduction case study
157,Organic Perspectives of Knowledge Management: Knowledge Evolution through a Cycle of Knowledge Liquidization and Crystallization,"knowledge liquidization and crystallization,knowledge management,community of practice,Knowledge Nebula Crystallizer,livingOM,ART-SHTA,organic perspective",['H' 'I' 'K'],organic perspectives,knowledge nebula crystallizer,organic perspectives knowledge nebula crystallizer
159,Supporting Knowledge Creation and Sharing in Communities Based on Mapping Implicit Knowledge,"knowledge Management,communities of practice,knowledge discovery,knowledge visualisation,semantic web",['H'],supporting knowledge creation,knowledge management,supporting knowledge creation knowledge management
160,"Etiquette, Empathy and Trust in Communities of Practice: Stepping-Stones to Social Capital","tacit knowledge,explicit knowledge,social norms,trust,etiquette,social capital,communities of practice,online communities,sociability",['A' 'H' 'I'],social capital,tacit knowledge,social capital tacit knowledge
161,On Determinism of Evolution-Communication P Systems,"Membrane computing,P system,Determinism,Computational  completeness",['F'],determinism,membrane computing,determinism membrane computing
162,Population P Systems,"Membrane computing,Cell bonding,Cell division,Cell differentiation,Turing computability",['F'],population,membrane computing,population membrane computing
163,P Systems with Symport/Antiport of Rules,"Membrane computing,Communication,Evolution,P system,Symport,Antiport",['F'],systems,membrane computing,systems membrane computing
164,A Note on Complexity Measures for Probabilistic P Systems,"P systems,Entropy,Natural Computing",['F' 'G' 'H'],complexity measures,natural computing,complexity measures natural computing
165,Finding the Maximum Element Using P Systems,"Maximum value,P systems,Natural computing,Membrane computing",['F'],maximum element,natural computing,maximum element natural computing
166,On P Systems with Promoters/Inhibitors,"P Systems,universality,promoters,inhibitors",['F'],systems,systems,systems systems
167,Simulating the Fredkin Gate with Energy-Based P Systems,"Energy-based P systems,Fredkin gate,conservative logic,reversibility,conservativeness",['F'],fredkin gate,fredkin gate,fredkin gate fredkin gate
168,A Java Simulator for Membrane Computing,"P system,Parallelism,Simulation,Java",['D' 'F'],java simulator,system,java simulator system
169,An Efficient Family of P Systems for Packing Items into Bins,"Membrane computing,Recognizer P systems,Complexity classes,Bin Packing problem,CLIPS",['F'],efficient family,bin packing problem,efficient family bin packing problem
