ID,Title,Keywords,FirstLevel,titleCleanedLem,keywordCleanedLem,titleCleanedStem,keywordCleanedStem,titleRelevantLem,keywordRelevantLem
13,A Knowledge Infrastructure Hierarchy Model for Call-Centre Processes,"knowledge management,information systems,data bases",['H'],hierarchy call-centre knowledge infrastructure process model,management system knowledge data base information,knowledg call-centr hierarchi infrastructur process model,manag knowledg system data base inform,hierarchy knowledge infrastructure process model,management system knowledge data base information
14,Process Oriented Knowledge Management: A Service Based Approach,"knowledge management service,knowledge management process",['H'],based management oriented knowledge approach service process,service management knowledge process,manag knowledg servic orient approach base process,process manag knowledg servic,based management oriented knowledge approach service process,service management knowledge process
15,Formal Construction of a Non-blocking Concurrent Queue Algorithm,"atomicity,concurrency,refinement,formal proof,prover",['D'],queue algorithm formal construction concurrent non-blocking,refinement prover formal atomicity proof concurrency,non-block concurr algorithm queue formal construct,prover formal concurr proof atom refin,queue algorithm formal construction concurrent,refinement prover formal atomicity proof concurrency
17,Investigating Atomicity and Observability,"observability,refinement of atomicity,formal development method",['F'],investigating atomicity observability,observability refinement formal atomicity method development,observ investig atom,formal develop method atom observ refin,investigating atomicity observability,observability refinement formal atomicity method development
18,Relaxing Atomicity and Verifying Correctness: Considering the Case of an Asynchronous Communication Mechanism,"asynchronous communication,process algebra,relaxation of atomicity,verification",['F'],communication atomicity relaxing considering case mechanism verifying correctness asynchronous,communication atomicity verification relaxation algebra process asynchronous,asynchron consid verifi relax atom case mechan commun correct,asynchron relax verif atom commun process algebra,communication atomicity relaxing considering case mechanism verifying correctness asynchronous,communication atomicity verification relaxation algebra process asynchronous
19,Precise Modelling of Compensating Business Transactions and its Application to BPEL,"long-runn,ing transactions,compensation,language semantics,formal specification,B method",['D' 'F' 'H'],compensating business modelling bpel precise transaction application,formal ing semantics compensation specification method long-runn transaction language,compens precis transact bpel applic busi model,formal compens ing method languag transact long-runn semant specif,compensating business modelling bpel precise transaction application,formal ing semantics compensation specification method transaction language
20,Replication: Understanding the Advantage of Atomic Broadcast over Quorum Systems,"atomic broadcast,quorum systems,replication,isolation",['C' 'D'],system replication broadcast understanding advantage quorum atomic,system replication broadcast quorum atomic isolation,understand system replic broadcast atom advantag quorum,system isol replic broadcast atom quorum,system replication broadcast understanding advantage quorum atomic,system replication broadcast quorum atomic isolation
21,The Atomic Manifesto,"atomicity,transactions,dependability,formal methods,hardware,programming languages",['A'],manifesto atomic,programming formal atomicity hardware method dependability transaction language,manifesto atom,formal depend method languag transact atom hardwar program,manifesto atomic,programming formal atomicity hardware method dependability transaction language
22,On Atomicity and Software Development,"atomicity,software development,concurrency,UML,OCL,transactions,monitors",['D'],software development atomicity,atomicity software development transaction monitor ocl uml concurrency,develop softwar atom,concurr develop transact atom softwar monitor ocl uml,software development atomicity,atomicity software development transaction monitor ocl uml concurrency
23,Atomicity as a First-Class System Provision,"atomicity,transactions,transactional memory,cache coherence",['C'],first-class atomicity system provision,atomicity coherence transactional cache transaction memory,first-class atom system provis,cach transact coher atom memori,atomicity system provision,atomicity coherence transactional cache memory
24,Semi-Automatic Visual Subgroup Mining using VIKAMINE,"subgroup mining,visualization,data analysis,data mining",['H' 'I'],semi-automatic visual vikamine subgroup mining using,visualization analysis subgroup mining data,visual mine semi-automat subgroup vikamin use,analysi visual mine subgroup data,visual vikamine subgroup mining using,visualization analysis subgroup mining data
25,Visualizing Recommendation Flow on Social Network,"reputation,social network,visualizing information flow",['H' 'J'],visualizing social network flow recommendation,visualizing reputation social network flow information,visual social recommend flow network,visual reput social network flow inform,visualizing social network flow recommendation,visualizing reputation social network flow information
26,Visualization of High-dimensional Data via Orthogonal Curves,"grand tour methods,Andrews' curves,exploratory data analysis,visual clustering",['H' 'I'],visualization curve via orthogonal data high-dimensional,visual grand curve tour analysis method clustering andrew data exploratory,visual via orthogon high-dimension curv data,analysi visual grand tour method cluster curv andrew data exploratori,visualization curve via orthogonal data,visual grand curve tour analysis method clustering andrew data exploratory
27,Integrating Lite-Weight but Ubiquitous Data Mining into GUI Operating Systems,"data mining,visualization,icon",['H'],system lite-weight operating mining ubiquitous data integrating gui,data visualization mining icon,mine system lite-weight integr data oper ubiquit gui,data visual mine icon,system operating mining ubiquitous data integrating gui,data visualization mining icon
28,Connecting Segments for Visual Data Exploration and Interactive Mining of Decision Rules,"data mining,visual data exploration,connecting segments",['E' 'H'],exploration visual decision segment mining connecting rule interactive data,exploration visual segment mining connecting data,visual segment mine decis interact explor connect rule data,visual segment mine explor connect data,exploration visual decision segment mining connecting rule interactive data,exploration visual segment mining connecting data
29,Visualization and Manipulation of Incomplete and Uncertain Dependencies by Decision Diagrams,"data mining,decision diagrams,incompletely specified functions,minimization",['F' 'I'],visualization decision uncertain diagram manipulation dependency incomplete,decision incompletely diagram mining minimization function specified data,incomplet visual uncertain decis depend diagram manipul,incomplet mine decis diagram function minim data specifi,visualization decision uncertain diagram manipulation dependency incomplete,decision incompletely diagram mining minimization function specified data
30,Gravi++: Interactive Information Visualization to Explore Highly Structured Temporal Data,"interactive information visualization,temporal data,medical domain",['H' 'J'],highly visualization temporal gravi interactive data structured information explore,domain visualization temporal medical interactive data information,visual interact highli gravi tempor explor data inform structur,domain visual interact tempor data medic inform,highly visualization temporal gravi interactive data structured information explore,domain visualization temporal medical interactive data information
31,Scalable Visual Data Exploration of Large Data Sets via MultiResolution,"visual data exploration,visualization technique,multiresolution",['H'],large exploration visual scalable set via data multiresolution,exploration visualization visual technique data multiresolution,larg visual set via explor multiresolut scalabl data,visual explor techniqu multiresolut data,large exploration visual scalable set via data multiresolution,exploration visualization visual technique data multiresolution
34,Physically Locating Wireless Intruders,"Wireless,intrusion detection system,802.11,antenna",['D'],physically wireless locating intruder,intrusion system wireless antenna detection,intrud wireless locat physic,intrus system detect wireless antenna,physically wireless locating intruder,intrusion system wireless antenna detection
35,A Reference Model for Security Level Evaluation: Policy and Fuzzy Techniques,"Policy,Public Key Infrastructure,Security Evaluation,Fuzzy Techniques   K.6.5,K.4.2",['K'],reference security evaluation level policy fuzzy technique model,public key security evaluation policy fuzzy technique infrastructure,evalu fuzzi techniqu level refer secur polici model,evalu public infrastructur key fuzzi techniqu secur polici,reference security evaluation level policy fuzzy technique model,public key security evaluation policy fuzzy technique infrastructure
36,Increasing Robustness of LSB Audio Steganography by Reduced Distortion LSB Coding,"audio steganography,LSB coding,data hiding   H.5.1",['D' 'H'],audio robustness lsb reduced increasing steganography coding distortion,audio lsb steganography coding data hiding,audio distort lsb code increas steganographi reduc robust,audio lsb code hide steganographi data,audio robustness lsb reduced increasing steganography coding distortion,audio lsb steganography coding data hiding
37,ProtoMon: Embedded Monitors for Cryptographic Protocol Intrusion Detection and Prevention,"Computer Security,Intrusion Detection,Cryptographic Protocol Abuse",['C' 'D' 'K'],protocol intrusion cryptographic embedded protomon monitor detection prevention,protocol intrusion cryptographic security computer detection abuse,intrus protocol detect embed protomon prevent monitor cryptograph,intrus protocol detect abus secur cryptograph comput,protocol intrusion cryptographic embedded protomon monitor detection prevention,protocol intrusion cryptographic security computer detection abuse
38,Sliding Window Protocol for Secure Group Communication in Ad-Hoc Networks,"Ad Hoc Network,DSR Routing Protocol,Re-keying performance,Secure Group Communications",['C' 'D' 'I'],communication protocol network sliding window secure ad-hoc group,ad re-keying routing hoc protocol performance communication network dsr secure group,slide protocol group network window ad-hoc secur commun,ad re-key hoc protocol group network dsr rout perform secur commun,communication protocol network sliding window secure group,ad routing hoc protocol performance communication network dsr secure group
39,Software/Hardware Co-Design of Efficient and Secure Cryptographic Hardware,"Evolutionary Computation,Co-Design,Genetic  Algorithm,Cryptography,Addition-Chain",['H'],cryptographic efficient co-design software/hardware secure hardware,algorithm genetic co-design computation addition-chain cryptography evolutionary,software/hardwar co-design hardwar secur cryptograph effici,evolutionari algorithm cryptographi co-design addition-chain genet comput,cryptographic efficient secure hardware,algorithm genetic computation cryptography evolutionary
40,RSA-based Certified Delivery of E-Goods Using Verifiable and Recoverable Signature Encryption,"certified delivery,non-repudiation,fair exchange,security protocols",['C' 'D' 'K'],certified signature encryption verifiable rsa-based e-goods using delivery recoverable,certified fair protocol exchange security non-repudiation delivery,signatur rsa-bas e-good deliveri verifi encrypt certifi use recover,fair protocol deliveri exchang certifi non-repudi secur,certified signature encryption verifiable using delivery recoverable,certified fair protocol exchange security delivery
41,Information Quality Assurance by Lazy Exploration of Information Source Combinations Space in Open Multi-Agent Systems,"multi-agent systems,agent,information quality",['H' 'I'],exploration system combination source assurance space multi-agent lazy information quality open,system agent multi-agent information quality,assur system combin explor lazi open sourc qualiti space inform multi-ag,system agent qualiti inform multi-ag,exploration system combination source assurance space lazy information quality open,system agent information quality
42,Low-Intrusive Consistent Disk Checkpointing: A Tool for Digital Forensics,"Checkpointing,Backup,Consistency,Snapshot,Digital  Forensics,File system,Operating System",['D'],low-intrusive disk digital tool forensics checkpointing consistent,consistency system backup operating digital file snapshot forensics checkpointing,low-intrus digit disk tool checkpoint consist forens,digit system backup file snapshot consist forens oper checkpoint,disk digital tool forensics checkpointing consistent,consistency system backup operating digital file snapshot forensics checkpointing
43,A Novel Scheme for Secured Data Transfer Over Computer Networks,"Data Protection,Perfect Secrecy,Information Theory,Security algorithm,Key management,One-time Pad",['E'],novel secured transfer network scheme computer data,management algorithm key security pad secrecy protection one-time theory data information perfect,novel transfer network scheme data secur comput,manag theori perfect algorithm one-tim key pad protect secur inform secreci data,novel secured transfer network scheme computer data,management algorithm key security pad secrecy protection theory data information perfect
44,"Gossip Codes for Fingerprinting: Construction, Erasure Analysis and Pirate Tracing","coding and information theory,multimedia information system,digital libraries",['H'],gossip analysis construction code erasure fingerprinting pirate tracing,system multimedia digital coding theory library information,analysi gossip pirat fingerprint code trace erasur construct,theori digit system multimedia code librari inform,gossip analysis construction code erasure fingerprinting pirate tracing,system multimedia digital coding theory library information
45,Creation of Information Profiles in Distributed Databasesas a Game Problem,"distributed databases,information resources,information market,game theory,strategy of database managers",['H' 'I' 'K'],profile creation game distributed information databasesas problem,database market manager game strategy distributed theory information resource,problem creation game databasesa profil inform distribut,manag theori market game databas resourc inform strategi distribut,profile creation game distributed information databasesas problem,database market manager game strategy distributed theory information resource
46,An Application of the DEDS Control Synthesis Method,"control synthesis,discrete event dynamic systems (DEDS)",['G' 'H' 'I'],control ded method synthesis application,control ded system event dynamic synthesis discrete,control ded method synthesi applic,control ded system dynam event synthesi discret,control ded method synthesis application,control ded system event dynamic synthesis discrete
47,Structural Tendencies in Complex Systems Development and their Implication for Software Systems,"complex systems,adaptable architectures,software life cycle",['C' 'D' 'G' 'H' 'K'],complex system implication structural software development tendency,life complex adaptable system cycle software architecture,complex system implic develop softwar structur tendenc,life complex architectur system adapt softwar cycl,complex system implication structural software development tendency,life complex adaptable system cycle software architecture
48,Collaborative Web Browsing Based on Semantic Extraction of User Interests with Bookmarks,"Web browsing,collaborative works,ontology",['H'],based user collaborative web bookmark browsing extraction interest semantic,collaborative web browsing ontology work,brows user collabor web extract semant bookmark interest base,brows collabor web ontolog work,based user collaborative web bookmark browsing extraction interest semantic,collaborative web browsing ontology work
49,The Language Grounding Problem and its Relation to the Internal Structure of Cognitive Agents,"language grounding,communication,cognitive agent,formula satisfaction,modal logic",['H'],cognitive grounding internal agent relation structure language problem,cognitive communication grounding agent formula satisfaction language modal logic,intern cognit agent ground languag relat structur problem,cognit agent formula ground languag satisfact modal commun logic,cognitive grounding internal agent relation structure language problem,cognitive communication grounding agent formula satisfaction language modal logic
50,RankFeed - Recommendation as Searching without Queries: New Hybrid Method of Recommendation,"recommendation,information retrieval,Web mining,personalization,adaptive systems,ROSA",['H'],hybrid without method query searching recommendation rankfeed new,rosa adaptive system web mining recommendation information personalization retrieval,hybrid queri recommend without method search rankfe new,rosa mine system recommend web person retriev adapt inform,hybrid without method query searching recommendation rankfeed new,rosa adaptive system web mining recommendation information personalization retrieval
52,Processing Inconsistency of Knowledge on Semantic Level,"inconsistent knowledge,conflicts,consensus methods",['E' 'H' 'I'],inconsistency knowledge level processing semantic,consensus method knowledge conflict inconsistent,knowledg semant level inconsist process,knowledg method consensu conflict inconsist,inconsistency knowledge level processing semantic,consensus method knowledge conflict inconsistent
53,Consensus-Based Hybrid Adaptation of Web Systems User Interfaces,"user interfaces,hybrid adaptation,Web-based systems,consensus methods",['H'],hybrid user system adaptation web interface consensus-based,hybrid consensus user system adaptation method web-based interface,hybrid user system web adapt interfac consensus-bas,hybrid user system method web-bas adapt consensu interfac,hybrid user system adaptation web interface,hybrid consensus user system adaptation method interface
54,A Provably Efficient Computational Model For Approximate Spatiotemporal Retrieval,"spatiotemporal databases,spatiotemporal data modeling,spatiotemporal data structures,range queries of high dimensionality",['H'],approximate computational model efficient spatiotemporal provably retrieval,database high dimensionality query structure spatiotemporal modeling range data,model retriev provabl approxim comput spatiotempor effici,dimension queri high databas rang spatiotempor structur data model,approximate computational model efficient spatiotemporal provably retrieval,database high dimensionality query structure spatiotemporal modeling range data
55,Time Costs in Actor Computations,"actor computations,execution time,parallel computations,implementation constraints",['C' 'D'],time computation actor cost,parallel constraint execution computation time actor implementation,time actor cost comput,parallel constraint implement time actor execut comput,time computation actor cost,parallel constraint execution computation time actor implementation
56,"Analysis, Design, and Performance Evaluation of MS-RTCP: More Scalable Scheme for the Real-Time Control Protocol","RTCP scalability,distributed management,multimedia protocols,multimedia communication",['C'],performance protocol scalable control analysis design scheme evaluation ms-rtcp real-time,communication protocol rtcp management multimedia scalability distributed,analysi evalu control protocol design scheme perform ms-rtcp real-tim scalabl,manag protocol rtcp multimedia scalabl commun distribut,performance protocol scalable control analysis design scheme evaluation,communication protocol rtcp management multimedia scalability distributed
57,Automatic Test Data Generation for Data Flow Testing Using a Genetic Algorithm,"software testing,automatic test data generation,data flow testing,Genetic algorithms",['D' 'K'],generation testing algorithm genetic flow automatic using data test,generation testing algorithm genetic flow software automatic data test,automat algorithm gener flow test data use genet,automat algorithm gener flow test softwar data genet,generation testing algorithm genetic flow automatic using data test,generation testing algorithm genetic flow software automatic data test
58,On Theoretical Upper Bound for Routing Estimation,"global routing,algorithms,CAD,integrated circuits",['B' 'F'],routing estimation theoretical upper bound,routing algorithm circuit cad global integrated,estim theoret rout upper bound,algorithm circuit cad rout global integr,routing estimation theoretical upper bound,routing algorithm circuit cad global integrated
59,Fine-Grained Transclusions of Multimedia Documents in HTML,"hypermedia,transclusions,xanalogical structure,authoring systems,publishing systems,web-based applications,multimedia",['H'],document multimedia fine-grained transclusions html,authoring xanalogical system multimedia transclusions web-based application structure hypermedia publishing,document multimedia html transclus fine-grain,structur system multimedia web-bas author applic hypermedia transclus xanalog publish,document multimedia transclusions html,authoring xanalogical system multimedia transclusions application structure hypermedia publishing
60,On Complexity of Collective Communications on a Fat Cube Topology,"interconnection networks,fat cube topology,router architecture,collective communications",['H'],communication cube fat complexity collective topology,interconnection fat cube communication network router collective architecture topology,cube complex fat topolog commun collect,fat cube architectur topolog network router collect interconnect commun,communication cube fat complexity collective topology,interconnection fat cube communication network router collective architecture topology
61,TESTAF: A Test Automation Framework for Class Testing using Object-Oriented Formal Specifications,"automated testing,formal specification,object-oriented software",['D'],testing automation formal specification framework testaf using class object-oriented test,testing formal automated specification software object-oriented,formal framework autom testaf use class specif object-ori test,formal autom softwar specif object-ori test,testing automation formal specification framework testaf using class test,testing formal automated specification software
62,A Provably Secure and Efficient Verifiable Shuffle based on a Variant of the Paillier Cryptosystem,"privacy,verifiable s,huffles,mix-nets,Paillier's public-key system",['E'],based cryptosystem efficient variant verifiable paillier secure provably shuffle,privacy system mix-nets public-key verifiable paillier huffles,cryptosystem shuffl verifi variant paillier provabl secur base effici,system verifi public-key mix-net paillier privaci huffl,based cryptosystem efficient variant verifiable paillier secure provably shuffle,privacy system verifiable paillier huffles
63,Exploiting Agent Ontologies in B2C Virtual Marketplaces,"intelligent agent technology,agent ontology,b2c e-commerce",['H'],b2c agent virtual exploiting ontology marketplace,b2c agent e-commerce ontology technology intelligent,b2c agent marketplac virtual exploit ontolog,b2c e-commerc agent technolog ontolog intellig,b2c agent virtual exploiting ontology marketplace,b2c agent ontology technology intelligent
64,Domain Extenders for UOWHF: A Finite Binary Tree Algorithm,"UOWHF,hash function,binary tree",['E'],domain tree algorithm uowhf extenders binary finite,tree uowhf binary function hash,domain tree algorithm uowhf finit extend binari,tree uowhf function binari hash,domain tree algorithm uowhf extenders binary finite,tree uowhf binary function hash
65,"Model Checking, Automated Abstraction, and Compositional Verification of Rebeca Models","actor model,reactive systems,model checking,modular verification,abstraction techniques",['D'],compositional rebeca automated verification abstraction checking model,system modular verification reactive abstraction checking actor technique model,check composit rebeca verif autom abstract model,check reactiv system modular verif techniqu actor abstract model,compositional rebeca automated verification abstraction checking model,system modular verification reactive abstraction checking actor technique model
66,A Fast T-decomposition Algorithm,"T-decomposition,computable complexity measures,parsing,entropy",['E'],t-decomposition fast algorithm,entropy complexity computable t-decomposition parsing measure,fast t-decomposit algorithm,complex t-decomposit entropi measur pars comput,fast algorithm,entropy complexity computable parsing measure
69,How to Draw Free Trees Inside Bounded Simple Polygons,"computational geometry,graph drawing,simulated annealing,free trees,straight skeleton",['G' 'I'],free simple tree polygon bounded inside draw,free computational tree geometry skeleton graph straight annealing simulated drawing,free tree polygon simpl insid bound draw,free tree anneal skeleton geometri graph straight simul draw comput,free simple tree polygon bounded inside draw,free computational tree geometry skeleton graph straight annealing simulated drawing
71,A Constructive Approach to Language Definition,"semantics of programming languages,action semantics,structural operational semantics,modularity",['D' 'F'],language constructive definition approach,programming semantics modularity structural action operational language,definit languag construct approach,modular languag semant action oper structur program,language constructive definition approach,programming semantics modularity structural action operational language
72,Hardware Design and Functional Programming: a Perfect Match,"functional programming,hardware description languages,arithmetic and logic structures,circuit generation",['B'],programming design match functional hardware perfect,programming generation hardware circuit structure description functional arithmetic language logic,design function match hardwar perfect program,logic descript arithmet gener languag circuit function hardwar structur program,programming design match functional hardware perfect,programming generation hardware circuit structure description functional arithmetic language logic
73,The Implementation of Lua 5.0,"compilers,virtual machines,hash t,ables,closures,coroutines",['D' 'E'],lua implementation,coroutines closure virtual machine ables compiler hash,implement lua,coroutin hash virtual closur machin abl compil,lua implementation,coroutines closure virtual machine ables compiler hash
74,AspectLua - A Dynamic AOP Approach,"AOP,MOP,Lua,dynamic aspects,reflection",['D'],aspectlua dynamic aop approach,mop lua reflection aspect dynamic aop,aspectlua dynam aop approach,mop lua dynam reflect aspect aop,aspectlua dynamic aop approach,mop lua reflection aspect dynamic aop
75,A Formal Semantics for Finalizers,"memory management,garbage collection,finalization,semantics",['D' 'F'],finalizers semantics formal,collection management garbage semantics finalization memory,semant formal final,manag final semant memori collect garbag,finalizers semantics formal,collection management garbage semantics finalization memory
76,PEWS: A New Language for Building Web Service Interfaces,"programming languages,web services,formal semantics",['C' 'D'],building web language service interface pew new,programming formal web semantics service language,servic web languag build interfac pew new,formal servic web languag semant program,building web language service interface pew new,programming formal web semantics service language
77,Compiling NonÂ­strict Functional Languages for the .NET Platform,".NET,languages interoperability,virtual machines,functional programming,compilers,Haskell",['D'],net compiling platform functional language nonâ­strict,programming net functional virtual haskell interoperability language machine compiler,languag platform function compil net nonâ­strict,interoper languag virtual function haskel machin net compil program,net compiling platform functional language,programming net functional virtual haskell interoperability language machine compiler
78,Running Lua Scripts on the CLR through Bytecode Translation,"virtual machines,compilers,common language runtime,bytecodes",['D'],bytecode script lua clr translation running,bytecodes virtual runtime common language machine compiler,script run lua clr translat bytecod,languag bytecod virtual common runtim machin compil,bytecode script lua clr translation running,bytecodes virtual runtime common language machine compiler
79,An Experimental Evaluation of JAVA JIT Technology,"dynamic compilation,just-in-time compiler,compiler optimizations",['C' 'D'],evaluation experimental jit java technology,optimization dynamic just-in-time compilation compiler,evalu experiment technolog jit java,dynam optim just-in-tim compil,evaluation experimental jit java technology,optimization dynamic compilation compiler
80,Signals and Comonads,"comonads,distributive laws,stream functions,dataflow computation",['D' 'F'],signal comonads,dataflow computation comonads function law stream distributive,signal comonad,dataflow function comonad law stream distribut comput,signal comonads,dataflow computation comonads function law stream distributive
81,An Equational Specification for the Scheme Language,"formal and executable semantics,equational specification,program analysis",['D'],language equational scheme specification,formal analysis semantics equational specification executable program,scheme languag specif equat,analysi equat formal semant execut specif program,language equational scheme specification,formal analysis semantics equational specification executable program
82,mHaskell: Mobile Computation in a Purely Functional Language,"mobile computation,,programming languages,functional programming,Haskell",['D'],computation mhaskell functional language mobile purely,programming computation haskell functional language mobile,pure languag function mobil mhaskel comput,program languag function haskel mobil comput,computation mhaskell functional language mobile purely,programming computation haskell functional language mobile
83,Learning Decision Trees from Dynamic Data Streams,"data streams,incremental decision trees,concept drift",['H' 'I'],tree decision learning dynamic data stream,drift decision tree incremental concept data stream,tree decis dynam learn data stream,drift tree decis concept increment data stream,tree decision learning dynamic data stream,drift decision tree incremental concept data stream
84,Resource-aware Mining of Data Streams,"data mining,data stream,clustering,resource-aware computing",['H'],data resource-aware mining stream,computing mining resource-aware clustering data stream,data resource-awar mine stream,mine resource-awar cluster data stream comput,data mining stream,computing mining clustering data stream
85,Network Attack Scenarios Extraction and Categorization by Mining IDS Alert Streams,"network security,,intrusion detection,first-order logics,resolution",['I'],categorization alert id network attack mining extraction stream scenario,resolution intrusion security network first-order detection logic,alert mine id network extract attack categor stream scenario,intrus resolut detect network secur first-ord logic,categorization alert id network attack mining extraction stream scenario,resolution intrusion security network detection logic
86,Semantic Preprocessing of Web Request Streams for Web Usage Mining,"Web usage mining,semantic analysis,browsing patterns",['H' 'I'],web request mining preprocessing semantic usage stream,analysis web mining browsing pattern usage semantic,mine usag web request semant preprocess stream,brows analysi mine usag web semant pattern,web request mining preprocessing semantic usage stream,analysis web mining browsing pattern usage semantic
87,Evaluating Trigger Conditions on Streaming Time Series with User-given Quality Requirements,"QoS (Quality of Service),trigger,streaming time series,prediction model",['H'],user-given evaluating trigger requirement condition streaming time series quality,prediction trigger qos streaming time series service quality model,evalu requir user-given trigger time qualiti condit seri stream,servic trigger predict qo time qualiti seri stream model,evaluating trigger requirement condition streaming time series quality,prediction trigger qos streaming time series service quality model
88,Online Mining Changes of Items over Continuous Append-only and Dynamic Data Streams,"data streams,change mining,single-pass algorithm",['H'],item mining append-only online dynamic continuous data stream change,algorithm single-pass mining data stream change,mine append-onli item dynam onlin data continu stream chang,mine algorithm single-pass data stream chang,item mining online dynamic continuous data stream change,algorithm mining data stream change
89,Incremental Rule Learning and Border Examples Selection from Numerical Data Streams,"classification,decision rules,incremental learning,concept drift,data streams",['H' 'I'],example learning incremental border selection rule data stream numerical,drift decision classification learning incremental concept rule data stream,select learn numer border increment exampl rule data stream,drift decis learn classif increment concept rule data stream,example learning incremental border selection rule data stream numerical,drift decision classification learning incremental concept rule data stream
91,New Bounds for Positive Roots of Polynomials,"roots of polynomial equations,bounds for positive roots",['F' 'G'],root polynomial positive bound new,root polynomial positive equation bound,posit root polynomi bound new,posit root equat polynomi bound,root polynomial positive bound new,root polynomial positive equation bound
94,Constructive Suprema,"constructive mathematics,partially ordered set,supremum",['F'],suprema constructive,set supremum constructive mathematics ordered partially,suprema construct,order set partial supremum mathemat construct,suprema constructive,set supremum constructive mathematics ordered partially
